quality,alcohol,liczba
3,8.4,1
3,9.0,1
3,9.7,1
3,9.8,1
3,9.9,1
3,9.95,1
3,10.2,1
3,10.7,1
3,10.9,1
3,11.0,1
4,9.0,2
4,9.05,1
4,9.1,2
4,9.2,3
4,9.3,2
4,9.4,2
4,9.6,6
4,9.7,2
4,9.8,3
4,9.9,1
4,10.0,4
4,10.1,1
4,10.3,1
4,10.4,3
4,10.5,1
4,10.9,3
4,11.0,4
4,11.1,1
4,11.2,3
4,11.3,1
4,11.4,2
4,11.5,2
4,11.8,1
4,12.0,1
4,13.1,1
5,8.5,1
5,8.8,2
5,9.0,11
5,9.1,14
5,9.2,50
5,9.3,44
5,9.4,79
5,9.5,97
5,9.55,1
5,9.6,38
5,9.7,35
5,9.8,49
5,9.9,25
5,10.0,29
5,10.1,23
5,10.2,21
5,10.3,13
5,10.4,12
5,10.5,31
5,10.6,8
5,10.7,7
5,10.8,9
5,10.9,13
5,11.0,19
5,11.1,7
5,11.2,8
5,11.3,5
5,11.4,9
5,11.5,3
5,11.6,1
5,11.7,1
5,11.8,2
5,11.9,1
5,11.95,1
5,12.0,1
5,12.1,1
5,12.2,1
5,12.6,1
5,12.8,1
5,12.9,2
5,13.0,4
5,14.9,1
6,8.4,1
6,8.7,2
6,9.0,16
6,9.1,7
6,9.2,17
6,9.23333333333333,1
6,9.25,1
6,9.3,13
6,9.4,22
6,9.5,40
6,9.55,1
6,9.56666666666667,1
6,9.6,15
6,9.7,14
6,9.8,23
6,9.9,18
6,10.0,25
6,10.0333333333333,2
6,10.1,21
6,10.2,20
6,10.3,18
6,10.4,25
6,10.5,25
6,10.55,1
6,10.6,14
6,10.7,18
6,10.75,1
6,10.8,22
6,10.9,27
6,11.0,22
6,11.0666666666667,1
6,11.1,15
6,11.2,15
6,11.3,18
6,11.4,18
6,11.5,19
6,11.6,8
6,11.7,9
6,11.8,15
6,11.9,14
6,12.0,10
6,12.1,4
6,12.2,7
6,12.3,5
6,12.4,7
6,12.5,11
6,12.6,2
6,12.7,6
6,12.8,8
6,12.9,3
6,13.2,1
6,13.3,2
6,13.4,1
6,13.5,1
6,13.6,1
6,14.0,4
7,9.2,2
7,9.5,2
7,9.7,2
7,9.8,1
7,9.9,4
7,10.0,8
7,10.1,2
7,10.2,4
7,10.3,1
7,10.4,1
7,10.5,10
7,10.55,1
7,10.6,6
7,10.7,1
7,10.8,11
7,10.9,5
7,11.0,11
7,11.1,4
7,11.2,10
7,11.3,7
7,11.4,2
7,11.5,6
7,11.6,6
7,11.7,11
7,11.8,10
7,11.9,5
7,12.0,9
7,12.1,8
7,12.2,4
7,12.3,7
7,12.4,6
7,12.5,9
7,12.6,2
7,12.7,2
7,12.8,7
7,12.9,3
7,13.0,2
7,13.3,1
7,13.4,1
7,13.5666666666667,1
7,13.6,3
7,14.0,1
8,9.8,1
8,10.0,1
8,11.0,2
8,11.3,1
8,11.4,1
8,11.7,2
8,11.8,1
8,12.5,1
8,12.6,1
8,12.7,1
8,12.8,1
8,12.9,1
8,13.1,1
8,13.4,1
8,14.0,2
