length,dot,scalar
1000,1.981e-6,0.002487503
2000,6.1e-7,0.00994141
3000,8.5e-7,0.010542632
4000,1.04e-6,0.01800238
5000,1.39e-6,0.027749099
6000,1.32e-6,0.072798599
7000,1.67e-6,0.072586167
8000,1.92e-6,0.12701746
9000,2.22e-6,0.123524031
10000,2.321e-6,0.160554997
1000,1.67e-6,0.002479547
2000,3.9e-7,0.00992667
3000,5.6e-7,0.148353936
4000,7.5e-7,0.018761753
5000,9.21e-7,0.028423017
6000,9.2e-7,0.0801162
7000,1.14e-6,0.204064202
8000,1.3e-6,0.069768942
9000,1.45e-6,0.087022067
10000,1.591e-6,0.167342601
1000,1.92e-6,0.001597761
2000,3.8e-7,0.144295208
3000,6.2e-7,0.010928823
4000,7.5e-7,0.018998617
5000,9.4e-7,0.028492664
6000,1.04e-6,0.073782444
7000,1.2e-6,0.054595739
8000,1.33e-6,0.070166016
9000,1.44e-6,0.121617468
10000,1.641e-6,0.143977007
1000,1.711e-6,0.001520197
2000,3.5e-7,0.004899404
3000,6.0e-7,0.011008829
4000,7.7e-7,0.019248513
5000,8.9e-7,0.02988936
6000,1.05e-6,0.041233523
7000,1.16e-6,0.233977154
8000,1.32e-6,0.200349815
9000,1.45e-6,0.24133344
10000,1.58e-6,0.259304005
1000,2.23e-6,0.001540609
2000,3.7e-7,0.032008349
3000,5.8e-7,0.011041892
4000,7.5e-7,0.018596704
5000,8.11e-7,0.032903771
6000,1.01e-6,0.077120844
7000,1.18e-6,0.076751215
8000,1.35e-6,0.121006019
9000,1.471e-6,0.188040685
10000,1.581e-6,0.156999409
1000,2.07e-6,0.002126964
2000,3.91e-7,0.005237342
3000,6.21e-7,0.011068273
4000,7.3e-7,0.05308222
5000,9.2e-7,0.02894617
6000,1.0e-6,0.041028062
7000,1.17e-6,0.06171127
8000,1.29e-6,0.108778785
9000,1.43e-6,0.088143942
10000,1.561e-6,0.277357407
1000,2.171e-6,0.001582583
2000,3.8e-7,0.005075956
3000,5.9e-7,0.011203196
4000,7.4e-7,0.041340291
5000,9.1e-7,0.029214787
6000,1.02e-6,0.076401343
7000,1.121e-6,0.178794722
8000,1.321e-6,0.070876265
9000,1.44e-6,0.119473659
10000,1.611e-6,0.174965254
1000,1.99e-6,0.001794252
2000,3.6e-7,0.005153642
3000,6.0e-7,0.011059883
4000,5.9e-7,0.163240584
5000,8.9e-7,0.029026523
6000,1.03e-6,0.040948021
7000,1.161e-6,0.055328597
8000,1.321e-6,0.071558965
9000,1.46e-6,0.118638994
10000,1.57e-6,0.14826784
1000,2.02e-6,0.001636667
2000,3.6e-7,0.005138734
3000,6.1e-7,0.011084904
4000,7.7e-7,0.018903056
5000,9.0e-7,0.176736095
6000,1.06e-6,0.040992762
7000,1.17e-6,0.060896362
8000,1.32e-6,0.07117727
9000,1.45e-6,0.268767505
10000,1.561e-6,0.174627463
1000,2.24e-6,0.001660079
2000,3.8e-7,0.004879224
3000,5.9e-7,0.011143176
4000,7.5e-7,0.018855928
5000,9.5e-7,0.02896567
6000,1.04e-6,0.054445328
7000,1.21e-6,0.345084105
8000,1.31e-6,0.188329544
9000,1.46e-6,0.13043561
10000,1.57e-6,0.272120608
