n,alg,time,error
1,t1,1.0105721477,0.0105721477
2,t1,1.9816890069,-0.0183109931
3,t1,3.0662680427,0.0662680427
4,t1,4.0602205696,0.0602205696
5,t1,5.029502051,0.029502051
6,t1,6.0459275363,0.0459275363
7,t1,6.9574614413,-0.0425385587
8,t1,8.0098913134,0.0098913134
9,t1,9.05395937,0.05395937
10,t1,9.9825600155,-0.0174399845
1,t2,1.9975851872,-0.0024148128
2,t2,3.9537722055,-0.0462277945
3,t2,5.9781720724,-0.0218279276
4,t2,8.0524531166,0.0524531166
5,t2,10.072777961,0.072777961
6,t2,11.9570020619,-0.0429979381
7,t2,14.0020788995,0.0020788995
8,t2,16.0310588219,0.0310588219
9,t2,18.0467166722,0.0467166722
10,t2,20.0469591944,0.0469591944
1,t1,1.079366812,0.079366812
2,t1,2.0344945591,0.0344945591
3,t1,2.9429899835,-0.0570100165
4,t1,3.9362650337,-0.0637349663
5,t1,4.9719308946,-0.0280691054
6,t1,5.9352581358,-0.0647418642
7,t1,6.9302392736,-0.0697607264
8,t1,8.08886851,0.08886851
9,t1,8.9496697453,-0.0503302547
10,t1,9.9639694441,-0.0360305559
1,t2,1.9349056111,-0.0650943889
2,t2,4.0313065936,0.0313065936
3,t2,5.9620427004,-0.0379572996
4,t2,8.0345372897,0.0345372897
5,t2,9.9679342388,-0.0320657612
6,t2,11.938130873,-0.061869127
7,t2,13.9331641282,-0.0668358718
8,t2,16.0400074207,0.0400074207
9,t2,17.951687357,-0.048312643
10,t2,19.9820402574,-0.0179597426
1,t1,0.9640594107,-0.0359405893
2,t1,1.9571877584,-0.0428122416
3,t1,3.0683180237,0.0683180237
4,t1,3.9039162526,-0.0960837474
5,t1,4.9093690515,-0.0906309485
6,t1,5.9995185244,-0.0004814756
7,t1,6.9181840139,-0.0818159861
8,t1,8.0785211667,0.0785211667
9,t1,9.0129511908,0.0129511908
10,t1,10.0962126805,0.0962126805
1,t2,2.0691577184,0.0691577184
2,t2,3.9672046682,-0.0327953318
3,t2,6.0060571735,0.0060571735
4,t2,8.0752858734,0.0752858734
5,t2,10.0095438036,0.0095438036
6,t2,12.0063278051,0.0063278051
7,t2,14.0985579539,0.0985579539
8,t2,16.0922007646,0.0922007646
9,t2,17.9010350795,-0.0989649205
10,t2,19.9046879884,-0.0953120116
1,t1,0.9804100468,-0.0195899532
2,t1,2.0760988151,0.0760988151
3,t1,2.9382608662,-0.0617391338
4,t1,4.0875805794,0.0875805794
5,t1,4.9135651541,-0.0864348459
6,t1,6.0381072965,0.0381072965
7,t1,6.9470202561,-0.0529797439
8,t1,7.9589184468,-0.0410815532
9,t1,8.9657053614,-0.0342946386
10,t1,9.9301867926,-0.0698132074
1,t2,2.0298944853,0.0298944853
2,t2,3.9258667082,-0.0741332918
3,t2,6.079865815,0.079865815
4,t2,8.0426999609,0.0426999609
5,t2,10.0047109529,0.0047109529
6,t2,12.0451717544,0.0451717544
7,t2,14.0277883044,0.0277883044
8,t2,15.9948605783,-0.0051394217
9,t2,17.9814432732,-0.0185567268
10,t2,20.0706582755,0.0706582755
1,t1,0.9608387408,-0.0391612592
2,t1,2.0267897469,0.0267897469
3,t1,2.9177289875,-0.0822710125
4,t1,3.9467534313,-0.0532465687
5,t1,5.0340155608,0.0340155608
6,t1,6.0447866763,0.0447866763
7,t1,6.9471869539,-0.0528130461
8,t1,8.020516265,0.020516265
9,t1,8.9359922312,-0.0640077688
10,t1,10.0013729359,0.0013729359
1,t2,1.9076066484,-0.0923933516
2,t2,3.9216543707,-0.0783456293
3,t2,5.9047371272,-0.0952628728
4,t2,7.9451691691,-0.0548308309
5,t2,10.0706838643,0.0706838643
6,t2,11.9154638156,-0.0845361844
7,t2,13.9948929331,-0.0051070669
8,t2,15.9483585948,-0.0516414052
9,t2,17.9686723241,-0.0313276759
10,t2,19.9371682739,-0.0628317261
