length,t,time
100,n,0.000000
100,i,0.000000
100,b,0.000000
100,n,0.010000
100,i,0.010000
100,b,0.000000
100,n,0.000000
100,i,0.000000
100,b,0.000000
100,n,0.010000
100,i,0.000000
100,b,0.000000
100,n,0.010000
100,i,0.000000
100,b,0.000000
100,n,0.010000
100,i,0.000000
100,b,0.000000
100,n,0.010000
100,i,0.000000
100,b,0.000000
100,n,0.000000
100,i,0.010000
100,b,0.000000
100,n,0.010000
100,i,0.000000
100,b,0.000000
100,n,0.000000
100,i,0.010000
100,b,0.000000
200,n,0.030000
200,i,0.030000
200,b,0.000000
200,n,0.040000
200,i,0.050000
200,b,0.000000
200,n,0.040000
200,i,0.030000
200,b,0.000000
200,n,0.040000
200,i,0.030000
200,b,0.000000
200,n,0.030000
200,i,0.030000
200,b,0.000000
200,n,0.030000
200,i,0.030000
200,b,0.000000
200,n,0.030000
200,i,0.030000
200,b,0.000000
200,n,0.030000
200,i,0.030000
200,b,0.000000
200,n,0.030000
200,i,0.030000
200,b,0.000000
200,n,0.030000
200,i,0.030000
200,b,0.000000
300,n,0.110000
300,i,0.100000
300,b,0.000000
300,n,0.110000
300,i,0.100000
300,b,0.000000
300,n,0.100000
300,i,0.100000
300,b,0.000000
300,n,0.110000
300,i,0.100000
300,b,0.000000
300,n,0.120000
300,i,0.110000
300,b,0.000000
300,n,0.110000
300,i,0.100000
300,b,0.000000
300,n,0.120000
300,i,0.100000
300,b,0.000000
300,n,0.110000
300,i,0.110000
300,b,0.000000
300,n,0.110000
300,i,0.100000
300,b,0.000000
300,n,0.110000
300,i,0.110000
300,b,0.000000
400,n,0.250000
400,i,0.310000
400,b,0.000000
400,n,0.260000
400,i,0.240000
400,b,0.000000
400,n,0.250000
400,i,0.250000
400,b,0.000000
400,n,0.270000
400,i,0.250000
400,b,0.000000
400,n,0.260000
400,i,0.250000
400,b,0.000000
400,n,0.260000
400,i,0.240000
400,b,0.000000
400,n,0.250000
400,i,0.240000
400,b,0.000000
400,n,0.260000
400,i,0.250000
400,b,0.000000
400,n,0.270000
400,i,0.240000
400,b,0.000000
400,n,0.250000
400,i,0.240000
400,b,0.000000
500,n,0.500000
500,i,0.480000
500,b,0.000000
500,n,0.500000
500,i,0.480000
500,b,0.000000
500,n,0.500000
500,i,0.480000
500,b,0.000000
500,n,0.510000
500,i,0.490000
500,b,0.000000
500,n,0.500000
500,i,0.490000
500,b,0.010000
500,n,0.500000
500,i,0.490000
500,b,0.000000
500,n,0.510000
500,i,0.480000
500,b,0.000000
500,n,0.510000
500,i,0.500000
500,b,0.000000
500,n,0.500000
500,i,0.480000
500,b,0.000000
500,n,0.520000
500,i,0.480000
500,b,0.000000
600,n,0.850000
600,i,0.820000
600,b,0.000000
600,n,0.870000
600,i,0.830000
600,b,0.000000
600,n,0.870000
600,i,0.820000
600,b,0.000000
600,n,0.870000
600,i,0.830000
600,b,0.000000
600,n,0.880000
600,i,0.920000
600,b,0.000000
600,n,0.880000
600,i,0.840000
600,b,0.000000
600,n,0.880000
600,i,0.830000
600,b,0.000000
600,n,0.850000
600,i,0.850000
600,b,0.000000
600,n,0.860000
600,i,0.850000
600,b,0.000000
600,n,0.890000
600,i,0.840000
600,b,0.000000
700,n,1.390000
700,i,1.310000
700,b,0.000000
700,n,1.390000
700,i,1.320000
700,b,0.000000
700,n,1.350000
700,i,1.320000
700,b,0.000000
700,n,1.410000
700,i,1.310000
700,b,0.000000
700,n,1.390000
700,i,1.350000
700,b,0.000000
700,n,1.370000
700,i,1.320000
700,b,0.000000
700,n,1.340000
700,i,1.330000
700,b,0.000000
700,n,1.370000
700,i,1.320000
700,b,0.000000
700,n,1.390000
700,i,1.320000
700,b,0.000000
700,n,1.350000
700,i,1.310000
700,b,0.000000
800,n,2.100000
800,i,1.970000
800,b,0.000000
800,n,2.140000
800,i,1.960000
800,b,0.000000
800,n,2.070000
800,i,1.970000
800,b,0.000000
800,n,2.060000
800,i,1.980000
800,b,0.000000
800,n,2.070000
800,i,1.980000
800,b,0.000000
800,n,2.080000
800,i,1.950000
800,b,0.000000
800,n,2.140000
800,i,1.970000
800,b,0.000000
800,n,2.360000
800,i,2.030000
800,b,0.000000
800,n,2.110000
800,i,1.960000
800,b,0.000000
800,n,2.220000
800,i,1.950000
800,b,0.000000
900,n,3.380000
900,i,2.770000
900,b,0.000000
900,n,3.440000
900,i,2.770000
900,b,0.010000
900,n,3.310000
900,i,2.740000
900,b,0.000000
900,n,3.350000
900,i,2.770000
900,b,0.000000
900,n,3.260000
900,i,2.750000
900,b,0.000000
900,n,3.320000
900,i,2.770000
900,b,0.000000
900,n,3.340000
900,i,2.750000
900,b,0.000000
900,n,3.390000
900,i,2.750000
900,b,0.000000
900,n,3.390000
900,i,2.780000
900,b,0.000000
900,n,3.360000
900,i,2.800000
900,b,0.000000
1000,n,5.760000
1000,i,3.840000
1000,b,0.010000
1000,n,5.860000
1000,i,3.890000
1000,b,0.010000
1000,n,6.290000
1000,i,3.910000
1000,b,0.000000
1000,n,5.710000
1000,i,3.810000
1000,b,0.000000
1000,n,5.390000
1000,i,3.770000
1000,b,0.010000
1000,n,5.960000
1000,i,3.910000
1000,b,0.010000
1000,n,5.950000
1000,i,3.810000
1000,b,0.010000
1000,n,6.060000
1000,i,3.880000
1000,b,0.010000
1000,n,5.930000
1000,i,3.890000
1000,b,0.000000
1000,n,6.270000
1000,i,3.790000
1000,b,0.010000
